Age,Gender,Country,family_history,work_interfere,no_employees,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,treatment
21,Male,Canada,No,Sometimes,6-25,No,Yes,No,No,'Dont know','Somewhat difficult',No,No,'Some of them',Maybe,Maybe,Yes,No,Yes
30,Male,'United States',No,Often,26-100,No,Yes,No,No,Yes,'Somewhat easy',Maybe,No,Yes,No,Maybe,'Dont know',No,Yes
24,Male,'United States',No,Never,26-100,'Dont know','Not sure',No,'Dont know','Dont know','Dont know',No,No,'Some of them',No,No,'Dont know',No,No
26,Male,Bulgaria,No,NA,100-500,No,No,No,No,No,'Very easy',Yes,Maybe,No,No,Maybe,'Dont know',No,No
40,Female,'United States',No,NA,26-100,Yes,Yes,Yes,Yes,Yes,'Somewhat easy',No,No,'Some of them',No,No,Yes,No,No
37,Male,'United Kingdom',Yes,Sometimes,26-100,No,No,No,No,'Dont know','Dont know',Yes,Maybe,'Some of them',No,Maybe,'Dont know',No,No
26,Male,'United Kingdom',No,Often,1-5,No,No,No,No,'Dont know','Dont know',Yes,No,No,No,Maybe,'Dont know',No,Yes
32,Female,'United States',Yes,Sometimes,6-25,'Dont know',No,No,No,No,'Dont know',Yes,Maybe,'Some of them',No,Maybe,No,Yes,Yes
32,Female,'United States',No,Sometimes,100-500,Yes,Yes,'Dont know','Dont know',Yes,'Very easy',No,No,Yes,No,Yes,Yes,No,Yes
27,Female,'United States',Yes,Sometimes,1-5,No,No,'Dont know','Dont know','Dont know','Very difficult',No,No,'Some of them',No,No,'Dont know',No,Yes
30,Male,Germany,No,Often,6-25,Yes,Yes,No,No,Yes,'Very difficult',No,No,'Some of them',Maybe,Yes,Yes,No,Yes
31,Male,Canada,No,NA,6-25,Yes,Yes,No,'Dont know',Yes,'Very easy',No,No,'Some of them',No,No,Yes,No,No
29,Female,'United States',No,Never,500-1000,Yes,No,No,'Dont know','Dont know','Somewhat difficult',Maybe,No,'Some of them',No,No,'Dont know',No,Yes
41,Male,'United States',No,NA,26-100,Yes,'Not sure',No,No,'Dont know','Very easy',Yes,No,No,No,No,'Dont know',No,No
34,Female,'United States',No,NA,6-25,Yes,No,No,No,'Dont know','Somewhat easy',No,No,Yes,Maybe,Maybe,Yes,No,No
33,Male,'United Kingdom',No,NA,26-100,'Dont know',No,No,No,'Dont know','Dont know',No,No,Yes,Yes,Yes,'Dont know',No,No
28,Male,'United States',No,Rarely,6-25,'Dont know',No,No,No,'Dont know','Dont know',No,No,'Some of them',No,Maybe,'Dont know',No,No
28,Male,'United States',No,Sometimes,'More than 1000',No,Yes,No,No,Yes,'Very difficult',Yes,No,No,No,No,No,No,Yes
23,Male,'United States',No,Never,26-100,'Dont know','Not sure','Dont know','Dont know','Dont know','Dont know',No,No,No,No,Yes,Yes,No,No
24,Male,'United States',No,NA,1-5,'Dont know',No,'Dont know',No,Yes,'Very easy',No,No,Yes,Maybe,Yes,Yes,No,No
32,Male,'United States',No,Rarely,1-5,No,Yes,No,No,'Dont know','Very difficult',No,No,'Some of them',No,Maybe,Yes,No,No
34,Male,Australia,No,Sometimes,1-5,'Dont know','Not sure',Yes,Yes,'Dont know','Somewhat difficult',Yes,Yes,No,No,Maybe,Yes,No,No
24,Male,'United States',No,Never,6-25,Yes,'Not sure',No,'Dont know','Dont know','Very easy',Maybe,No,'Some of them',Maybe,Maybe,Yes,No,No
26,Male,'United Kingdom',No,Sometimes,1-5,No,Yes,No,No,'Dont know','Dont know',Maybe,No,'Some of them',No,Maybe,Yes,No,Yes
36,Male,'United States',No,Sometimes,26-100,Yes,No,No,Yes,'Dont know','Dont know',Maybe,No,'Some of them',No,Maybe,'Dont know',Yes,Yes
41,Male,'United States',No,Rarely,500-1000,Yes,Yes,No,'Dont know','Dont know','Dont know',Maybe,Maybe,'Some of them',Maybe,Maybe,No,No,Yes
38,Male,'United Kingdom',No,Sometimes,'More than 1000','Dont know','Not sure','Dont know','Dont know','Dont know','Very difficult',Yes,No,No,No,Maybe,No,No,Yes
38,Male,'United States',No,Sometimes,26-100,'Dont know','Not sure',No,'Dont know','Dont know','Dont know',Maybe,Maybe,'Some of them',No,Maybe,No,No,No
30,Male,Netherlands,No,NA,26-100,'Dont know',No,'Dont know','Dont know',Yes,'Somewhat easy',No,No,'Some of them',No,No,Yes,No,No
25,Male,'United Kingdom',No,Never,26-100,No,No,No,No,'Dont know','Somewhat difficult',Yes,Maybe,No,No,Maybe,No,No,No
37,Male,Canada,Yes,Often,26-100,Yes,Yes,No,'Dont know','Dont know','Dont know',Maybe,No,'Some of them',No,Yes,'Dont know',No,Yes
34,Male,'United Kingdom',Yes,NA,6-25,No,No,No,No,Yes,'Somewhat difficult',No,No,'Some of them',No,Yes,No,Yes,No
37,Female,'United States',Yes,Sometimes,'More than 1000',Yes,Yes,Yes,Yes,Yes,'Somewhat easy',No,No,'Some of them',No,Maybe,Yes,No,Yes
28,Female,Canada,Yes,Sometimes,6-25,Yes,Yes,Yes,Yes,Yes,'Dont know',No,No,'Some of them',No,No,No,Yes,Yes
22,Male,Sweden,No,NA,6-25,'Dont know',No,No,No,'Dont know','Dont know',No,No,'Some of them',Maybe,Maybe,No,No,No
34,Male,'United States',Yes,Sometimes,1-5,No,No,No,No,'Dont know','Somewhat difficult',Maybe,No,'Some of them',No,Maybe,No,Yes,Yes
33,Male,'United States',Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,'Somewhat easy',No,No,'Some of them',No,No,'Dont know',No,Yes
25,Male,'South Africa',No,NA,6-25,No,No,No,No,Yes,'Somewhat difficult',Maybe,No,'Some of them',No,Yes,No,No,No
27,Male,'United States',No,Never,'More than 1000',Yes,Yes,'Dont know','Dont know',Yes,'Somewhat easy',No,No,'Some of them',Maybe,Maybe,Yes,No,No
40,Male,'United States',No,Sometimes,'More than 1000',Yes,Yes,Yes,Yes,Yes,'Dont know',Yes,Maybe,No,No,Maybe,No,Yes,Yes
21,Male,'United States',No,Often,6-25,'Dont know',No,No,'Dont know','Dont know','Dont know',Maybe,No,No,No,Maybe,'Dont know',No,Yes
29,Male,'United Kingdom',No,NA,6-25,No,No,No,No,Yes,'Very easy',No,No,Yes,Maybe,Yes,Yes,No,No
32,Male,'United States',Yes,Sometimes,1-5,No,No,No,No,'Dont know','Dont know',Maybe,No,Yes,No,Yes,'Dont know',No,Yes
29,Female,'United States',Yes,Rarely,500-1000,Yes,Yes,Yes,'Dont know',Yes,'Dont know',Maybe,No,'Some of them',Maybe,Yes,'Dont know',No,Yes
23,Male,'United States',Yes,Sometimes,26-100,'Dont know',No,No,'Dont know',Yes,'Somewhat easy',Maybe,No,'Some of them',No,Yes,Yes,No,Yes
28,Male,'United States',Yes,NA,100-500,Yes,No,No,'Dont know',Yes,'Somewhat easy',No,No,'Some of them',No,Maybe,Yes,Yes,No
31,Male,'United States',Yes,Rarely,100-500,Yes,Yes,Yes,'Dont know',Yes,'Very easy',No,No,'Some of them',No,Maybe,Yes,No,Yes
27,Male,'United Kingdom',No,NA,100-500,'Dont know','Not sure','Dont know','Dont know',No,'Very easy',Maybe,Maybe,Yes,No,No,'Dont know',No,No
24,Male,'United States',No,Sometimes,6-25,'Dont know',No,'Dont know','Dont know','Dont know','Dont know',No,No,Yes,Maybe,Maybe,'Dont know',No,No
29,Male,Canada,No,Often,6-25,No,No,No,No,'Dont know','Somewhat difficult',Yes,No,No,No,Maybe,'Dont know',No,No
23,Female,'United Kingdom',No,Sometimes,6-25,'Dont know','Not sure','Dont know','Dont know','Dont know','Dont know',Maybe,Maybe,'Some of them',No,Maybe,Yes,No,Yes
42,Male,'United States',No,Never,6-25,No,Yes,No,Yes,'Dont know','Somewhat easy',No,No,'Some of them',No,No,Yes,No,No
24,Male,'United Kingdom',No,NA,1-5,No,No,No,No,'Dont know','Dont know',Yes,No,'Some of them',No,Yes,No,No,No
25,Male,Australia,Yes,Often,6-25,No,Yes,No,No,No,'Very difficult',Yes,Maybe,No,No,Yes,No,Yes,Yes
27,Female,'United States',No,Rarely,6-25,Yes,No,No,No,Yes,'Dont know',Maybe,Maybe,Yes,No,Maybe,'Dont know',No,Yes
27,Male,Canada,No,Sometimes,6-25,No,Yes,No,No,No,'Very difficult',Yes,Yes,'Some of them',No,Maybe,No,No,No
30,Male,'United States',No,Sometimes,100-500,Yes,Yes,No,Yes,Yes,'Dont know',No,No,Yes,Maybe,No,Yes,No,Yes
29,Male,Poland,Yes,Rarely,6-25,No,Yes,No,No,Yes,'Very difficult',Maybe,No,'Some of them',No,Yes,No,No,Yes
43,Male,Canada,No,NA,6-25,No,'Not sure',No,No,'Dont know','Somewhat easy',Maybe,No,Yes,Yes,Yes,'Dont know',No,No
32,Male,'United States',No,NA,6-25,No,Yes,No,'Dont know','Dont know','Very easy',No,No,'Some of them',No,Maybe,'Dont know',No,No
41,Male,'United States',No,Sometimes,26-100,Yes,Yes,'Dont know',No,'Dont know','Very easy',No,No,Yes,Yes,Yes,Yes,No,Yes
32,Male,'United Kingdom',Yes,Sometimes,1-5,'Dont know','Not sure','Dont know','Dont know','Dont know','Very easy',Maybe,Maybe,Yes,Maybe,Maybe,'Dont know',Yes,Yes
37,Female,'United States',Yes,Often,26-100,Yes,Yes,No,No,Yes,'Dont know',Maybe,No,'Some of them',No,Yes,'Dont know',No,Yes
32,Male,'United States',No,Never,6-25,No,No,No,No,'Dont know','Very easy',No,No,Yes,No,No,'Dont know',No,No
30,Male,Ireland,No,Sometimes,1-5,No,No,No,No,'Dont know','Somewhat difficult',No,No,'Some of them',No,Maybe,No,No,No
23,Female,'United States',Yes,Never,100-500,Yes,No,'Dont know','Dont know',Yes,'Dont know',No,No,'Some of them',Maybe,Maybe,Yes,No,Yes
30,Male,'United States',No,NA,'More than 1000',Yes,Yes,Yes,Yes,Yes,'Very easy',No,No,'Some of them',No,No,Yes,No,No
34,Male,'United Kingdom',No,Sometimes,26-100,No,Yes,No,No,'Dont know','Somewhat easy',Maybe,Maybe,Yes,No,No,'Dont know',No,No
38,Male,'United States',No,Rarely,26-100,Yes,No,No,No,'Dont know','Dont know',Yes,No,No,No,Maybe,No,No,Yes
33,Male,Canada,No,NA,100-500,Yes,No,Yes,Yes,Yes,'Dont know',No,No,'Some of them',No,No,'Dont know',No,No
34,Male,'United States',No,NA,26-100,Yes,No,No,No,'Dont know','Dont know',Maybe,No,'Some of them',No,No,'Dont know',No,No
28,Male,Colombia,No,Sometimes,6-25,No,Yes,No,No,'Dont know','Somewhat easy',Maybe,Maybe,No,No,No,'Dont know',No,No
28,Male,'United States',No,Rarely,100-500,Yes,Yes,Yes,'Dont know','Dont know','Very easy',Maybe,No,'Some of them',No,No,Yes,No,Yes
23,Male,'United States',Yes,Sometimes,100-500,'Dont know',No,No,'Dont know','Dont know','Dont know',Maybe,No,'Some of them',No,Maybe,No,No,No
22,Male,Australia,Yes,Sometimes,6-25,'Dont know','Not sure',Yes,Yes,'Dont know','Somewhat easy',Maybe,No,'Some of them',No,Yes,No,Yes,Yes
27,Male,Portugal,No,Never,6-25,No,No,No,No,Yes,'Dont know',Yes,No,No,No,Maybe,'Dont know',No,No
18,Male,'United States',No,Sometimes,6-25,'Dont know',No,No,'Dont know','Dont know','Dont know',Yes,No,No,No,Maybe,'Dont know',No,Yes
35,Male,'United States',Yes,Sometimes,26-100,Yes,Yes,No,No,Yes,'Somewhat difficult',Yes,No,No,No,Maybe,'Dont know',No,Yes
25,Male,Canada,No,NA,100-500,'Dont know','Not sure',No,No,'Dont know','Dont know',No,No,'Some of them',No,Yes,No,No,No
27,Male,'United Kingdom',Yes,Sometimes,6-25,No,No,No,No,Yes,'Somewhat easy',Maybe,Maybe,Yes,Yes,Yes,Yes,No,Yes
26,Female,'United States',Yes,Rarely,'More than 1000',Yes,'Not sure','Dont know','Dont know','Dont know','Dont know',Maybe,No,'Some of them',No,No,'Dont know',No,Yes
18,Male,'United States',No,Never,26-100,'Dont know','Not sure','Dont know','Dont know','Dont know','Very easy',No,No,'Some of them',No,Maybe,Yes,No,No
38,Female,'United States',No,Sometimes,1-5,No,Yes,No,No,'Dont know','Dont know',No,Maybe,'Some of them',No,No,'Dont know',Yes,Yes
26,Female,'United States',Yes,Rarely,'More than 1000',Yes,Yes,Yes,'Dont know','Dont know','Somewhat easy',Maybe,No,'Some of them',No,No,'Dont know',No,Yes
30,Male,Switzerland,No,Never,1-5,No,No,No,No,No,'Somewhat easy',No,No,Yes,No,No,Yes,No,No
35,Male,'United States',No,Never,'More than 1000','Dont know',No,No,'Dont know','Dont know','Dont know',Yes,Maybe,'Some of them',No,No,'Dont know',No,No
45,Male,'United States',Yes,Sometimes,'More than 1000',Yes,Yes,'Dont know','Dont know',Yes,'Dont know',Maybe,No,'Some of them',No,Maybe,'Dont know',No,Yes
32,Male,'United States',No,Never,'More than 1000',Yes,No,No,'Dont know','Dont know','Dont know',Maybe,No,'Some of them',No,No,'Dont know',No,No
56,Male,'United States',No,Never,'More than 1000',Yes,'Not sure','Dont know','Dont know','Dont know','Dont know',No,Maybe,Yes,No,Maybe,'Dont know',No,Yes
24,Female,'United States',No,NA,500-1000,'Dont know','Not sure',No,'Dont know','Dont know','Dont know',Maybe,Maybe,'Some of them',No,Maybe,No,No,No
30,Female,'United States',Yes,Sometimes,26-100,Yes,Yes,Yes,'Dont know','Dont know','Very easy',No,No,Yes,No,Yes,Yes,No,Yes
60,Male,'United States',No,NA,'More than 1000',Yes,No,'Dont know',Yes,'Dont know','Dont know',No,No,'Some of them',Maybe,Maybe,Yes,No,No
33,Male,'United States',Yes,Sometimes,'More than 1000',Yes,No,Yes,Yes,'Dont know','Dont know',Yes,No,No,No,Maybe,'Dont know',No,Yes
37,Male,'United States',No,Never,'More than 1000',Yes,Yes,Yes,Yes,'Dont know','Dont know',No,No,'Some of them',Maybe,Maybe,'Dont know',No,No
23,Female,'United States',No,Sometimes,'More than 1000',Yes,Yes,Yes,Yes,'Dont know','Dont know',No,No,'Some of them',No,No,Yes,No,Yes
31,Female,'United States',No,Sometimes,'More than 1000',Yes,'Not sure','Dont know','Dont know',Yes,'Somewhat easy',No,No,Yes,No,No,Yes,No,Yes
26,Male,'United States',No,Rarely,100-500,Yes,'Not sure',No,'Dont know','Dont know','Dont know',No,No,'Some of them',No,Maybe,'Dont know',No,No
28,Female,'United States',Yes,Often,100-500,Yes,Yes,Yes,Yes,Yes,'Somewhat easy',Yes,No,'Some of them',No,No,Yes,No,Yes
37,Female,'United States',No,Rarely,'More than 1000',Yes,Yes,'Dont know',Yes,'Dont know','Somewhat easy',No,No,'Some of them',No,No,Yes,No,Yes
26,Male,Canada,Yes,Often,6-25,Yes,No,No,'Dont know','Dont know','Dont know',Maybe,No,'Some of them',Maybe,Maybe,Yes,No,Yes
30,Trans,'United States',Yes,Rarely,26-100,Yes,'Not sure',No,No,'Dont know','Somewhat easy',Maybe,No,'Some of them',No,No,'Dont know',No,Yes
26,Male,'United States',No,NA,26-100,No,No,No,No,'Dont know','Dont know',No,No,'Some of them',No,No,'Dont know',Yes,No
25,Male,'United States',No,NA,26-100,'Dont know','Not sure',No,'Dont know','Dont know','Dont know',No,No,'Some of them',No,No,'Dont know',No,No
27,Male,'United States',No,Sometimes,100-500,Yes,'Not sure',Yes,Yes,'Dont know','Dont know',Maybe,No,'Some of them',No,Maybe,'Dont know',No,No
25,Male,Canada,No,Often,6-25,'Dont know',No,No,'Dont know','Dont know','Somewhat difficult',Yes,Maybe,No,No,Maybe,'Dont know',No,Yes
35,Male,'United States',No,Rarely,100-500,Yes,'Not sure','Dont know',Yes,'Dont know','Dont know',No,No,'Some of them',No,No,'Dont know',No,Yes
36,Male,'United States',No,Never,1-5,No,Yes,No,No,'Dont know','Somewhat easy',Maybe,No,'Some of them',No,No,Yes,No,Yes
26,Male,'United States',Yes,Sometimes,'More than 1000',Yes,'Not sure',No,'Dont know','Dont know','Dont know',Yes,No,No,No,No,No,No,Yes
27,Male,'United States',Yes,NA,'More than 1000','Dont know',No,'Dont know','Dont know','Dont know','Very easy',No,No,Yes,Maybe,Maybe,Yes,No,No
30,Male,'United States',No,NA,6-25,'Dont know','Not sure',No,'Dont know','Dont know','Dont know',Maybe,Maybe,'Some of them',No,No,'Dont know',No,No
29,Male,'United States',No,NA,100-500,'Dont know','Not sure',No,'Dont know','Dont know','Dont know',Maybe,No,No,No,Maybe,'Dont know',No,No
25,Male,'United States',No,Never,'More than 1000',Yes,Yes,Yes,Yes,Yes,'Very easy',No,No,'Some of them',Maybe,Maybe,Yes,No,No
22,Female,'United States',Yes,Often,'More than 1000',Yes,Yes,Yes,Yes,Yes,'Somewhat easy',Maybe,No,No,No,No,Yes,Yes,Yes
29,Male,Latvia,No,NA,26-100,No,Yes,No,No,'Dont know','Somewhat easy',Maybe,Maybe,'Some of them',No,No,'Dont know',No,No
41,Male,'United States',Yes,Rarely,100-500,Yes,Yes,'Dont know',Yes,Yes,'Somewhat easy',No,No,'Some of them',Maybe,Maybe,Yes,No,Yes
29,Male,'United States',No,Sometimes,'More than 1000',Yes,No,No,'Dont know','Dont know','Dont know',Yes,No,'Some of them',No,Maybe,No,No,Yes
32,Male,'United States',No,Never,500-1000,Yes,'Not sure','Dont know',Yes,Yes,'Somewhat easy',No,No,'Some of them',Maybe,Maybe,Yes,No,No
24,Female,'United States',Yes,Sometimes,'More than 1000',Yes,Yes,No,Yes,Yes,'Dont know',Maybe,No,'Some of them',No,Maybe,'Dont know',No,Yes
25,Male,'United States',No,Rarely,6-25,Yes,No,'Dont know',No,'Dont know','Dont know',Maybe,No,No,No,No,'Dont know',No,Yes
25,Male,'United States',No,NA,'More than 1000','Dont know','Not sure','Dont know','Dont know','Dont know','Dont know',Maybe,No,No,No,Maybe,'Dont know',No,No
30,Female,'United States',No,Never,'More than 1000',Yes,Yes,Yes,Yes,Yes,'Somewhat easy',Maybe,Maybe,No,No,No,'Dont know',No,No
25,Male,'United States',Yes,Sometimes,'More than 1000','Dont know','Not sure','Dont know',Yes,'Dont know','Dont know',No,No,Yes,No,No,Yes,No,Yes
30,Male,'United States',No,Never,1-5,No,Yes,No,No,'Dont know','Dont know',Maybe,No,'Some of them',No,Maybe,'Dont know',No,No
33,Male,Germany,Yes,Rarely,1-5,No,No,No,No,'Dont know','Somewhat difficult',Yes,Yes,No,Maybe,No,Yes,Yes,Yes
24,Male,'United States',No,NA,26-100,Yes,'Not sure',Yes,Yes,Yes,'Very easy',No,No,'Some of them',No,Maybe,Yes,No,No
25,Male,Canada,Yes,Sometimes,'More than 1000',Yes,Yes,No,'Dont know','Dont know','Dont know',Yes,Maybe,'Some of them',No,No,No,No,Yes
31,Male,'United States',No,NA,100-500,'Dont know',No,No,No,Yes,'Somewhat easy',Maybe,No,No,No,Yes,No,No,No
45,Male,Ireland,No,Often,1-5,No,No,No,No,'Dont know','Very difficult',No,No,No,No,No,'Dont know',No,Yes
29,Male,Romania,No,NA,6-25,No,Yes,No,No,'Dont know','Dont know',Maybe,Maybe,'Some of them',Maybe,Maybe,No,No,No
46,Male,'United States',No,Never,26-100,Yes,'Not sure',Yes,'Dont know','Dont know','Very easy',No,No,'Some of them',Maybe,Maybe,'Dont know',No,No
30,Male,'United Kingdom',No,Sometimes,26-100,'Dont know',No,No,'Dont know','Dont know','Dont know',Yes,Maybe,No,No,Maybe,'Dont know',No,Yes
29,Female,'United States',No,Sometimes,'More than 1000',Yes,'Not sure','Dont know',No,'Dont know','Very easy',Maybe,Maybe,'Some of them',No,No,'Dont know',No,No
24,Male,'United States',No,NA,'More than 1000',Yes,Yes,'Dont know','Dont know',Yes,'Dont know',Yes,No,No,No,Maybe,'Dont know',No,No
29,Male,'United States',No,NA,26-100,Yes,Yes,Yes,Yes,Yes,'Very easy',No,No,'Some of them',No,Maybe,Yes,No,No
35,Male,'United States',No,NA,26-100,'Dont know','Not sure',No,'Dont know','Dont know','Dont know',No,No,Yes,No,No,No,No,No
33,Female,'United States',Yes,Sometimes,26-100,No,Yes,No,No,'Dont know','Very difficult',Yes,Maybe,'Some of them',No,Maybe,No,No,No
27,Male,'United States',No,Sometimes,'More than 1000','Dont know','Not sure','Dont know','Dont know','Dont know','Very easy',Yes,No,No,No,Maybe,No,No,No
36,Male,'United States',No,NA,'More than 1000','Dont know','Not sure','Dont know','Dont know','Dont know','Dont know',Maybe,No,'Some of them',No,No,'Dont know',No,No
33,Male,'United Kingdom',No,Rarely,1-5,'Dont know',No,No,No,'Dont know','Dont know',Yes,Maybe,No,No,Maybe,No,No,No
25,Female,'United States',Yes,Sometimes,26-100,Yes,Yes,No,No,Yes,'Dont know',No,No,'Some of them',No,No,'Dont know',No,Yes
23,Male,'United States',Yes,Sometimes,100-500,'Dont know',No,No,No,'Dont know','Dont know',No,No,Yes,Maybe,Yes,'Dont know',No,Yes
54,Male,'United States',Yes,Never,'More than 1000','Dont know',No,Yes,Yes,'Dont know','Dont know',No,No,No,No,No,'Dont know',No,Yes
22,Male,'United States',No,Sometimes,'More than 1000','Dont know',No,'Dont know','Dont know','Dont know','Dont know',Maybe,No,'Some of them',No,Maybe,'Dont know',No,No
25,Trans,'United States',Yes,Sometimes,'More than 1000',Yes,Yes,'Dont know','Dont know','Dont know','Dont know',Maybe,No,'Some of them',No,No,Yes,No,Yes
29,Male,Belgium,No,Often,6-25,'Dont know',No,No,No,'Dont know','Dont know',Maybe,No,Yes,Maybe,Maybe,'Dont know',No,No
27,Male,'United States',No,Sometimes,'More than 1000',Yes,Yes,Yes,Yes,Yes,'Dont know',No,No,No,No,Yes,Yes,No,Yes
30,Male,'United Kingdom',No,Never,6-25,No,No,No,'Dont know','Dont know','Very easy',No,No,'Some of them',No,Maybe,Yes,No,No
26,Male,'United States',Yes,Often,'More than 1000',Yes,'Not sure','Dont know',Yes,'Dont know','Dont know',Maybe,No,'Some of them',No,No,'Dont know',No,Yes
25,Female,Sweden,Yes,Sometimes,6-25,Yes,Yes,Yes,No,'Dont know','Somewhat easy',No,No,'Some of them',No,No,No,No,No
31,Male,'United States',No,Sometimes,500-1000,No,Yes,No,'Dont know',Yes,'Dont know',No,No,'Some of them',No,No,No,No,Yes
33,Male,'United States',Yes,Sometimes,26-100,'Dont know','Not sure',No,No,'Dont know','Dont know',Maybe,No,'Some of them',No,No,'Dont know',No,Yes
34,Male,'United States',Yes,Sometimes,'More than 1000',Yes,Yes,'Dont know',Yes,Yes,'Dont know',Maybe,Maybe,No,No,No,'Dont know',No,Yes
34,Male,'United States',No,Sometimes,100-500,No,No,No,No,'Dont know','Somewhat easy',Yes,Yes,'Some of them',No,Maybe,'Dont know',No,Yes
29,Male,'United States',No,NA,1-5,No,Yes,No,No,Yes,'Very easy',No,No,Yes,Maybe,Maybe,Yes,No,No
33,Female,'United States',No,NA,6-25,No,No,No,No,'Dont know','Somewhat difficult',Maybe,No,'Some of them',No,No,'Dont know',No,No
34,Male,Germany,Yes,Rarely,26-100,No,No,No,'Dont know','Dont know','Somewhat difficult',No,No,Yes,No,Maybe,Yes,No,Yes
26,Male,'United States',Yes,Rarely,100-500,No,No,No,'Dont know',No,'Dont know',Maybe,No,'Some of them',No,Yes,No,No,Yes
32,Male,'United States',Yes,Rarely,'More than 1000',Yes,Yes,Yes,Yes,Yes,'Dont know',No,No,'Some of them',No,Yes,Yes,No,Yes
28,Male,'United States',Yes,Sometimes,'More than 1000','Dont know','Not sure',No,'Dont know','Dont know','Somewhat difficult',Maybe,Maybe,No,No,No,No,No,Yes
35,Male,'United States',Yes,NA,'More than 1000',Yes,No,Yes,Yes,Yes,'Very easy',No,No,'Some of them',No,No,'Dont know',No,No
36,Male,'United States',Yes,Often,100-500,No,Yes,No,No,Yes,'Very easy',No,No,'Some of them',No,No,'Dont know',No,Yes
21,Male,'United States',Yes,Rarely,100-500,Yes,No,No,'Dont know',Yes,'Dont know',No,No,Yes,Maybe,Maybe,'Dont know',No,Yes
21,Male,'United Kingdom',No,Sometimes,6-25,'Dont know','Not sure',No,No,No,'Very easy',Yes,No,'Some of them',No,Maybe,No,No,Yes
22,Female,'United States',No,NA,'More than 1000',Yes,No,Yes,Yes,Yes,'Somewhat easy',No,No,No,No,No,Yes,No,No
41,Male,'United States',Yes,Often,'More than 1000',Yes,No,Yes,Yes,'Dont know','Somewhat difficult',Maybe,No,Yes,No,Maybe,No,Yes,Yes
55,Male,'United States',Yes,Rarely,'More than 1000',Yes,Yes,Yes,Yes,Yes,'Very easy',No,No,Yes,No,No,Yes,No,Yes
32,Female,'United States',No,Sometimes,26-100,Yes,Yes,Yes,Yes,Yes,'Somewhat easy',Maybe,No,'Some of them',No,Maybe,Yes,No,Yes
21,Female,'United States',Yes,Rarely,26-100,'Dont know','Not sure','Dont know',No,'Dont know','Somewhat easy',Yes,No,'Some of them',No,Yes,'Dont know',No,Yes
45,Male,'United States',No,Never,26-100,Yes,Yes,'Dont know','Dont know','Dont know','Dont know',Maybe,No,No,No,Maybe,'Dont know',No,Yes
27,Female,'United States',No,Rarely,'More than 1000',Yes,Yes,No,No,Yes,'Dont know',Yes,Maybe,No,No,No,No,No,Yes
25,Female,'United States',Yes,Sometimes,26-100,'Dont know',No,No,No,'Dont know','Dont know',Maybe,No,'Some of them',No,No,Yes,No,Yes
34,Female,'United States',Yes,Rarely,'More than 1000',Yes,Yes,Yes,Yes,Yes,'Very difficult',Maybe,Maybe,'Some of them',No,No,Yes,No,Yes
26,Female,'United States',Yes,Never,'More than 1000',Yes,Yes,No,Yes,Yes,'Dont know',Maybe,No,No,No,No,'Dont know',No,Yes
41,Male,Canada,No,Never,500-1000,Yes,'Not sure',No,'Dont know','Dont know','Somewhat easy',No,No,'Some of them',No,No,'Dont know',No,Yes
27,Male,'United States',No,Rarely,'More than 1000',Yes,No,Yes,Yes,Yes,'Dont know',No,No,'Some of them',No,Maybe,Yes,No,Yes
31,Male,'United States',Yes,Sometimes,26-100,Yes,No,No,No,'Dont know','Dont know',No,No,Yes,No,No,'Dont know',No,Yes
25,Male,Germany,Yes,Often,26-100,No,No,No,No,Yes,'Somewhat easy',No,No,Yes,No,Yes,No,No,Yes
26,Male,'United States',No,Sometimes,6-25,'Dont know',No,No,No,'Dont know','Dont know',Yes,Yes,'Some of them',No,No,No,No,Yes
27,Female,'United States',Yes,Rarely,'More than 1000',Yes,Yes,No,'Dont know','Dont know','Dont know',Maybe,Maybe,No,No,No,'Dont know',No,Yes
42,Male,'New Zealand',No,Never,500-1000,'Dont know','Not sure',No,No,'Dont know','Dont know',No,No,'Some of them',Maybe,Maybe,'Dont know',No,No
29,Trans,'United States',Yes,Sometimes,1-5,Yes,Yes,No,No,'Dont know','Very difficult',Yes,No,'Some of them',No,Maybe,No,No,Yes
25,Female,'United States',No,Sometimes,6-25,'Dont know','Not sure',No,No,'Dont know','Somewhat difficult',Yes,No,'Some of them',No,Maybe,'Dont know',No,Yes
33,Female,Sweden,Yes,Rarely,'More than 1000',Yes,Yes,No,Yes,Yes,'Dont know',Maybe,No,'Some of them',No,Yes,'Dont know',No,Yes
40,Female,'United States',Yes,Rarely,'More than 1000',Yes,No,'Dont know','Dont know','Dont know','Somewhat easy',Maybe,Maybe,No,No,No,'Dont know',No,Yes
31,Male,'United States',No,Never,'More than 1000','Dont know',No,No,'Dont know','Dont know','Somewhat easy',Yes,No,'Some of them',No,No,'Dont know',No,No
26,Male,Canada,Yes,Often,26-100,'Dont know',No,'Dont know','Dont know','Dont know','Very easy',No,No,Yes,No,No,Yes,No,Yes
24,Female,'United States',Yes,NA,500-1000,No,No,No,No,No,'Very difficult',Yes,Maybe,No,No,Maybe,No,Yes,No
